seed,variant,perturbation,n,auc,eer,tpr1,tpr5,tpr10,ece_raw,ece_platt,platt_a,platt_b
0,backbone_only,blur_s1,600,0.76278,0.31799999999999995,0.324,0.368,0.476,0.05087002436319987,0.033419697284698485,4.631678104400635,-1.9940283298492432
0,backbone_only,blur_s2,600,0.72958,0.33999999999999997,0.178,0.326,0.38,0.06578526124358178,0.057979573756456376,4.631678104400635,-1.9940283298492432
0,backbone_only,blur_s3,600,0.70078,0.35,0.094,0.264,0.364,0.0868343229405582,0.06334739024440447,4.631678104400635,-1.9940283298492432
0,backbone_only,clean,600,0.77078,0.31000000000000005,0.308,0.416,0.494,0.06068095232049624,0.04891708756486575,4.631678104400635,-1.9940283298492432
0,backbone_only,downscale_2x,600,0.7644,0.31999999999999995,0.32,0.368,0.47,0.043398041973511374,0.036916166891654334,4.631678104400635,-1.9940283298492432
0,backbone_only,downscale_4x,600,0.73008,0.34099999999999997,0.208,0.314,0.398,0.057522219965855284,0.05303199137250582,4.631678104400635,-1.9940283298492432
0,backbone_only,jpeg_q10,600,0.6932,0.36,0.128,0.278,0.316,0.2356151403983434,0.1885136341055234,4.631678104400635,-1.9940283298492432
0,backbone_only,jpeg_q30,600,0.7379,0.348,0.218,0.386,0.42,0.2075163523852825,0.17073395212491355,4.631678104400635,-1.9940283298492432
0,backbone_only,jpeg_q50,600,0.75136,0.32999999999999996,0.28,0.384,0.45,0.1843945469458898,0.14962838247418406,4.631678104400635,-1.9940283298492432
0,backbone_only,noise_s10,600,0.75998,0.33099999999999996,0.278,0.412,0.47,0.07382694294055303,0.06131293167670567,4.631678104400635,-1.9940283298492432
0,backbone_only,noise_s20,600,0.74114,0.32099999999999995,0.206,0.368,0.438,0.08243759999672573,0.06894748002290726,4.631678104400635,-1.9940283298492432
0,backbone_only,noise_s5,600,0.7606,0.31799999999999995,0.326,0.396,0.496,0.054842965006828316,0.04221009122828643,4.631678104400635,-1.9940283298492432
0,backbone+rppg,blur_s1,600,0.7596,0.31999999999999995,0.338,0.374,0.442,0.03839053911467393,0.0381492501248916,4.687049388885498,-2.0411596298217773
0,backbone+rppg,blur_s2,600,0.72876,0.33999999999999997,0.18,0.312,0.368,0.06143265167872111,0.06546419595678647,4.687049388885498,-2.0411596298217773
0,backbone+rppg,blur_s3,600,0.70184,0.361,0.094,0.264,0.386,0.08557747623572748,0.07123386840025583,4.687049388885498,-2.0411596298217773
0,backbone+rppg,clean,600,0.76988,0.30000000000000004,0.314,0.392,0.464,0.05408013467987379,0.04409034167726836,4.687049388885498,-2.0411596298217773
0,backbone+rppg,downscale_2x,600,0.7615,0.31999999999999995,0.332,0.364,0.436,0.0440022012591362,0.036973500251770014,4.687049388885498,-2.0411596298217773
0,backbone+rppg,downscale_4x,600,0.72938,0.34199999999999997,0.218,0.32,0.386,0.058245439330736795,0.05953032935659091,4.687049388885498,-2.0411596298217773
0,backbone+rppg,jpeg_q10,600,0.696,0.35,0.122,0.256,0.326,0.21215943748752278,0.16967403123776117,4.687049388885498,-2.0411596298217773
0,backbone+rppg,jpeg_q30,600,0.73742,0.34199999999999997,0.226,0.398,0.424,0.19396826038757958,0.15928431272506713,4.687049388885498,-2.0411596298217773
0,backbone+rppg,jpeg_q50,600,0.75086,0.31999999999999995,0.284,0.402,0.46,0.170520341048638,0.14391087686022125,4.687049388885498,-2.0411596298217773
0,backbone+rppg,noise_s10,600,0.75984,0.32799999999999996,0.284,0.414,0.486,0.06363485277319948,0.05312143231431644,4.687049388885498,-2.0411596298217773
0,backbone+rppg,noise_s20,600,0.74066,0.32099999999999995,0.198,0.376,0.438,0.07403558979431789,0.05222573382159075,4.687049388885498,-2.0411596298217773
0,backbone+rppg,noise_s5,600,0.76014,0.31100000000000005,0.296,0.428,0.498,0.06468604544798534,0.042033427804708486,4.687049388885498,-2.0411596298217773
0,backbone+blink,blur_s1,600,0.76708,0.31199999999999994,0.304,0.38,0.484,0.041414035658041644,0.04485046165684859,4.738384246826172,-2.0748627185821533
0,backbone+blink,blur_s2,600,0.73434,0.33999999999999997,0.174,0.33,0.372,0.06615232224265735,0.06852284582952659,4.738384246826172,-2.0748627185821533
0,backbone+blink,blur_s3,600,0.7087,0.32999999999999996,0.102,0.25,0.402,0.08522539743532737,0.07199434493978818,4.738384246826172,-2.0748627185821533
0,backbone+blink,clean,600,0.77552,0.30000000000000004,0.3,0.442,0.484,0.057440041974186895,0.04225340875486533,4.738384246826172,-2.0748627185821533
0,backbone+blink,downscale_2x,600,0.76826,0.31199999999999994,0.306,0.382,0.486,0.04478067807853222,0.048507598539193474,4.738384246826172,-2.0748627185821533
0,backbone+blink,downscale_4x,600,0.73593,0.32999999999999996,0.214,0.308,0.424,0.05935860152045886,0.06878145560622216,4.738384246826172,-2.0748627185821533
0,backbone+blink,jpeg_q10,600,0.69976,0.35,0.126,0.25,0.346,0.23428867563605305,0.19251898258924488,4.738384246826172,-2.0748627185821533
0,backbone+blink,jpeg_q30,600,0.74068,0.34099999999999997,0.208,0.376,0.416,0.20748579690853755,0.17495312596360843,4.738384246826172,-2.0748627185821533
0,backbone+blink,jpeg_q50,600,0.7537,0.32799999999999996,0.276,0.37,0.442,0.18315774023532866,0.15256666138768196,4.738384246826172,-2.0748627185821533
0,backbone+blink,noise_s10,600,0.7633,0.31899999999999995,0.288,0.4,0.462,0.0747065884557863,0.06278053671121597,4.738384246826172,-2.0748627185821533
0,backbone+blink,noise_s20,600,0.7463,0.32999999999999996,0.202,0.374,0.432,0.08657056018710135,0.0702900991588831,4.738384246826172,-2.0748627185821533
0,backbone+blink,noise_s5,600,0.7642,0.31899999999999995,0.332,0.388,0.488,0.06204735028247038,0.06573339392741522,4.738384246826172,-2.0748627185821533
0,full_fusion,blur_s1,600,0.76486,0.31199999999999994,0.316,0.37,0.464,0.04237362486620744,0.04465902072687944,4.76993465423584,-2.102545976638794
0,full_fusion,blur_s2,600,0.73406,0.33799999999999997,0.172,0.336,0.37,0.06263238261143367,0.06957271168629328,4.76993465423584,-2.102545976638794
0,full_fusion,blur_s3,600,0.70826,0.34199999999999997,0.092,0.244,0.39,0.08514766884346803,0.077280499736468,4.76993465423584,-2.102545976638794
0,full_fusion,clean,600,0.77418,0.30000000000000004,0.308,0.4,0.47,0.0570343138029178,0.03842228971421719,4.76993465423584,-2.102545976638794
0,full_fusion,downscale_2x,600,0.76596,0.31000000000000005,0.32,0.366,0.462,0.04037960683306059,0.043827884060641135,4.76993465423584,-2.102545976638794
0,full_fusion,downscale_4x,600,0.73462,0.33999999999999997,0.22,0.316,0.428,0.05519492213924726,0.06301942701141039,4.76993465423584,-2.102545976638794
0,full_fusion,jpeg_q10,600,0.70124,0.33899999999999997,0.126,0.242,0.338,0.21166144917408625,0.17231849844257038,4.76993465423584,-2.102545976638794
0,full_fusion,jpeg_q30,600,0.73996,0.33999999999999997,0.216,0.35,0.428,0.19438474436601003,0.1620264185965061,4.76993465423584,-2.102545976638794
0,full_fusion,jpeg_q50,600,0.75274,0.32899999999999996,0.274,0.396,0.446,0.1699560855825742,0.14123719568053883,4.76993465423584,-2.102545976638794
0,full_fusion,noise_s10,600,0.7631,0.31000000000000005,0.276,0.398,0.472,0.06441836544622978,0.057637622505426415,4.76993465423584,-2.102545976638794
0,full_fusion,noise_s20,600,0.74554,0.32099999999999995,0.196,0.378,0.434,0.07542966763178507,0.05162435983618101,4.76993465423584,-2.102545976638794
0,full_fusion,noise_s5,600,0.76272,0.31000000000000005,0.322,0.412,0.464,0.05960059141119322,0.042028582394123076,4.76993465423584,-2.102545976638794
1,backbone_only,blur_s1,600,0.75914,0.32999999999999996,0.28,0.358,0.458,0.04202111773192882,0.05532118362685045,4.633212089538574,-1.9480397701263428
1,backbone_only,blur_s2,600,0.72756,0.33999999999999997,0.178,0.324,0.396,0.061498435897131776,0.07217646981279055,4.633212089538574,-1.9480397701263428
1,backbone_only,blur_s3,600,0.69926,0.36,0.108,0.302,0.374,0.08588357801238695,0.07671692882974943,4.633212089538574,-1.9480397701263428
1,backbone_only,clean,600,0.76588,0.31999999999999995,0.304,0.41,0.49,0.05354495753844579,0.050865097492933276,4.633212089538574,-1.9480397701263428
1,backbone_only,downscale_2x,600,0.76104,0.32799999999999996,0.282,0.352,0.464,0.047623914877573656,0.056862177650133766,4.633212089538574,-1.9480397701263428
1,backbone_only,downscale_4x,600,0.72798,0.35,0.194,0.324,0.428,0.05003416403507193,0.06782675777872403,4.633212089538574,-1.9480397701263428
1,backbone_only,jpeg_q10,600,0.69458,0.35,0.178,0.23,0.326,0.18339983542760213,0.13142884594698748,4.633212089538574,-1.9480397701263428
1,backbone_only,jpeg_q30,600,0.73604,0.36,0.24,0.342,0.434,0.19729403048753738,0.15678725481033326,4.633212089538574,-1.9480397701263428
1,backbone_only,jpeg_q50,600,0.74818,0.32999999999999996,0.264,0.396,0.45,0.17729978278279307,0.13452769175171853,4.633212089538574,-1.9480397701263428
1,backbone_only,noise_s10,600,0.75826,0.31000000000000005,0.332,0.36,0.492,0.06501790806651116,0.05441813600560029,4.633212089538574,-1.9480397701263428
1,backbone_only,noise_s20,600,0.7389,0.349,0.236,0.352,0.45,0.07066205481688181,0.07605211918552718,4.633212089538574,-1.9480397701263428
1,backbone_only,noise_s5,600,0.7545,0.31000000000000005,0.32,0.408,0.468,0.06506294970711073,0.04197142479320368,4.633212089538574,-1.9480397701263428
1,backbone+rppg,blur_s1,600,0.76046,0.32099999999999995,0.29,0.364,0.444,0.05007370188832283,0.05436127409338951,4.653386116027832,-1.9725788831710815
1,backbone+rppg,blur_s2,600,0.72864,0.33999999999999997,0.176,0.322,0.39,0.06367525717243552,0.07411005193988483,4.653386116027832,-1.9725788831710815
1,backbone+rppg,blur_s3,600,0.70124,0.368,0.108,0.28,0.372,0.0876060113310814,0.08058919817209244,4.653386116027832,-1.9725788831710815
1,backbone+rppg,clean,600,0.76796,0.31999999999999995,0.32,0.408,0.488,0.050511364837487534,0.034824170768260956,4.653386116027832,-1.9725788831710815
1,backbone+rppg,downscale_2x,600,0.76276,0.31999999999999995,0.294,0.36,0.456,0.0453139853477478,0.052417303621768954,4.653386116027832,-1.9725788831710815
1,backbone+rppg,downscale_4x,600,0.72908,0.352,0.188,0.326,0.412,0.056289079667379456,0.06904907643795014,4.653386116027832,-1.9725788831710815
1,backbone+rppg,jpeg_q10,600,0.69776,0.35,0.19,0.26,0.326,0.1750727730492751,0.12376532460252442,4.653386116027832,-1.9725788831710815
1,backbone+rppg,jpeg_q30,600,0.7382,0.33999999999999997,0.226,0.338,0.414,0.19026826143264772,0.14965271222094695,4.653386116027832,-1.9725788831710815
1,backbone+rppg,jpeg_q50,600,0.75146,0.31999999999999995,0.254,0.392,0.442,0.17235584716002147,0.13245225101709365,4.653386116027832,-1.9725788831710815
1,backbone+rppg,noise_s10,600,0.75964,0.31199999999999994,0.316,0.362,0.512,0.06834945514798164,0.04692360803484917,4.653386116027832,-1.9725788831710815
1,backbone+rppg,noise_s20,600,0.73992,0.33899999999999997,0.234,0.346,0.444,0.07471422935525578,0.06192003021637599,4.653386116027832,-1.9725788831710815
1,backbone+rppg,noise_s5,600,0.75616,0.31000000000000005,0.32,0.422,0.462,0.05413885382314524,0.055495450645685195,4.653386116027832,-1.9725788831710815
1,backbone+blink,blur_s1,600,0.76444,0.30000000000000004,0.26,0.362,0.464,0.05543399294217428,0.047115486264228824,4.626787185668945,-2.0650739669799805
1,backbone+blink,blur_s2,600,0.7318,0.32999999999999996,0.17,0.306,0.394,0.08190285319462419,0.059009476453065875,4.626787185668945,-2.0650739669799805
1,backbone+blink,blur_s3,600,0.70202,0.36,0.098,0.248,0.362,0.09602899059653282,0.06647369210918744,4.626787185668945,-2.0650739669799805
1,backbone+blink,clean,600,0.77554,0.31999999999999995,0.294,0.398,0.504,0.053371684576074274,0.04406635011235873,4.626787185668945,-2.0650739669799805
1,backbone+blink,downscale_2x,600,0.76574,0.30200000000000005,0.264,0.362,0.484,0.05323244082430999,0.05236789241433143,4.626787185668945,-2.0650739669799805
1,backbone+blink,downscale_4x,600,0.73324,0.33999999999999997,0.184,0.31,0.41,0.06831980463738244,0.05112822050849596,4.626787185668945,-2.0650739669799805
1,backbone+blink,jpeg_q10,600,0.7007,0.34099999999999997,0.166,0.224,0.328,0.17583575705687207,0.1436875394980113,4.626787185668945,-2.0650739669799805
1,backbone+blink,jpeg_q30,600,0.74106,0.33099999999999996,0.244,0.374,0.402,0.18422717809677125,0.16070674483974776,4.626787185668945,-2.0650739669799805
1,backbone+blink,jpeg_q50,600,0.75446,0.30200000000000005,0.264,0.388,0.452,0.1601811570922534,0.14027162343263627,4.626787185668945,-2.0650739669799805
1,backbone+blink,noise_s10,600,0.76368,0.31000000000000005,0.298,0.358,0.462,0.05950215784211953,0.06112315585215887,4.626787185668945,-2.0650739669799805
1,backbone+blink,noise_s20,600,0.74384,0.33199999999999996,0.22,0.342,0.436,0.07382055689891179,0.06253147453069687,4.626787185668945,-2.0650739669799805
1,backbone+blink,noise_s5,600,0.7614,0.31999999999999995,0.306,0.376,0.454,0.05638634887834391,0.04834103668729465,4.626787185668945,-2.0650739669799805
1,full_fusion,blur_s1,600,0.76426,0.30800000000000005,0.272,0.382,0.456,0.03281406489511331,0.05506926829616229,4.72173547744751,-2.029695987701416
1,full_fusion,blur_s2,600,0.73282,0.33999999999999997,0.172,0.324,0.38,0.06733372734238705,0.07249536211291949,4.72173547744751,-2.029695987701416
1,full_fusion,blur_s3,600,0.70586,0.36,0.102,0.27,0.41,0.08661387200156848,0.08109331399202348,4.72173547744751,-2.029695987701416
1,full_fusion,clean,600,0.77404,0.30000000000000004,0.304,0.406,0.498,0.06611754049857457,0.038702783485253654,4.72173547744751,-2.029695987701416
1,full_fusion,downscale_2x,600,0.7661,0.30000000000000004,0.276,0.382,0.464,0.03985163076470296,0.05420154675841331,4.72173547744751,-2.029695987701416
1,full_fusion,downscale_4x,600,0.73332,0.33999999999999997,0.196,0.32,0.42,0.06590379493311048,0.0696307688454787,4.72173547744751,-2.029695987701416
1,full_fusion,jpeg_q10,600,0.70456,0.349,0.186,0.244,0.326,0.17239053462942444,0.12684843818346658,4.72173547744751,-2.029695987701416
1,full_fusion,jpeg_q30,600,0.74126,0.32899999999999996,0.23,0.342,0.422,0.18939041137695317,0.15209777255853016,4.72173547744751,-2.029695987701416
1,full_fusion,jpeg_q50,600,0.75328,0.30900000000000005,0.252,0.38,0.462,0.17065301929910978,0.13510549398760002,4.72173547744751,-2.029695987701416
1,full_fusion,noise_s10,600,0.76112,0.30900000000000005,0.316,0.36,0.468,0.05633722893893718,0.048876814966400464,4.72173547744751,-2.029695987701416
1,full_fusion,noise_s20,600,0.74354,0.33199999999999996,0.238,0.338,0.442,0.06869183766966065,0.06414389774203301,4.72173547744751,-2.029695987701416
1,full_fusion,noise_s5,600,0.75972,0.31000000000000005,0.312,0.412,0.462,0.05350833828250566,0.05311764587958654,4.72173547744751,-2.029695987701416
42,backbone_only,blur_s1,600,0.75896,0.32899999999999996,0.25,0.372,0.482,0.05313201889395714,0.05674728179971378,4.710544586181641,-2.0339810848236084
42,backbone_only,blur_s2,600,0.72724,0.33899999999999997,0.22,0.324,0.422,0.0690749172369639,0.07079363023241361,4.710544586181641,-2.0339810848236084
42,backbone_only,blur_s3,600,0.69652,0.36,0.128,0.28,0.352,0.08357862779249747,0.07159656882286072,4.710544586181641,-2.0339810848236084
42,backbone_only,clean,600,0.76682,0.31899999999999995,0.302,0.426,0.482,0.06203858991463978,0.04295173674821853,4.710544586181641,-2.0339810848236084
42,backbone_only,downscale_2x,600,0.76,0.32799999999999996,0.252,0.372,0.48,0.049335617572069175,0.05046967898805936,4.710544586181641,-2.0339810848236084
42,backbone_only,downscale_4x,600,0.72622,0.34099999999999997,0.18,0.3,0.42,0.057653804371754325,0.06233789364496867,4.710544586181641,-2.0339810848236084
42,backbone_only,jpeg_q10,600,0.6958,0.362,0.126,0.23,0.312,0.21561127528548235,0.1704313564797243,4.710544586181641,-2.0339810848236084
42,backbone_only,jpeg_q30,600,0.7384,0.33099999999999996,0.222,0.346,0.436,0.2083587752779325,0.17134371563792225,4.710544586181641,-2.0339810848236084
42,backbone_only,jpeg_q50,600,0.75188,0.32999999999999996,0.296,0.342,0.484,0.18340727587540945,0.14846292386452356,4.710544586181641,-2.0339810848236084
42,backbone_only,noise_s10,600,0.75776,0.31799999999999995,0.294,0.364,0.488,0.07643109763662022,0.05418561538060506,4.710544586181641,-2.0339810848236084
42,backbone_only,noise_s20,600,0.73928,0.32799999999999996,0.21,0.33,0.434,0.08338765223821004,0.06463413027425607,4.710544586181641,-2.0339810848236084
42,backbone_only,noise_s5,600,0.75646,0.31999999999999995,0.334,0.382,0.446,0.07989819936454295,0.050887456138928734,4.710544586181641,-2.0339810848236084
42,backbone+rppg,blur_s1,600,0.75964,0.32799999999999996,0.248,0.378,0.474,0.048828140397866565,0.05936990107099216,4.738972187042236,-2.060648202896118
42,backbone+rppg,blur_s2,600,0.72834,0.35,0.222,0.324,0.402,0.069051904057463,0.06800109833478926,4.738972187042236,-2.060648202896118
42,backbone+rppg,blur_s3,600,0.69804,0.36,0.13,0.282,0.362,0.08979309846957526,0.07285760238766671,4.738972187042236,-2.060648202896118
42,backbone+rppg,clean,600,0.76906,0.31000000000000005,0.286,0.432,0.498,0.06557160543898741,0.03861972287297249,4.738972187042236,-2.060648202896118
42,backbone+rppg,downscale_2x,600,0.761,0.32199999999999995,0.25,0.374,0.486,0.046910003920396175,0.05477840547760328,4.738972187042236,-2.060648202896118
42,backbone+rppg,downscale_4x,600,0.72864,0.35,0.174,0.292,0.42,0.06271519886950651,0.062933701723814,4.738972187042236,-2.060648202896118
42,backbone+rppg,jpeg_q10,600,0.69958,0.36,0.124,0.242,0.324,0.20638656611243886,0.16112050799032054,4.738972187042236,-2.060648202896118
42,backbone+rppg,jpeg_q30,600,0.74078,0.33899999999999997,0.228,0.346,0.42,0.20368634924292567,0.16689751714468004,4.738972187042236,-2.060648202896118
42,backbone+rppg,jpeg_q50,600,0.75386,0.31999999999999995,0.292,0.362,0.45,0.17817978103955584,0.1456609523296356,4.738972187042236,-2.060648202896118
42,backbone+rppg,noise_s10,600,0.75892,0.31000000000000005,0.294,0.354,0.478,0.06637384608387946,0.052314758722980824,4.738972187042236,-2.060648202896118
42,backbone+rppg,noise_s20,600,0.74142,0.32999999999999996,0.222,0.35,0.438,0.0774525800657769,0.06258665775259337,4.738972187042236,-2.060648202896118
42,backbone+rppg,noise_s5,600,0.75792,0.31999999999999995,0.34,0.372,0.484,0.07222054964552323,0.05162161807219188,4.738972187042236,-2.060648202896118
